time_1,absorbance_1,time_2,absorbance_2,time_3,absorbance_3,time_4,absorbance_4,time_5,absorbance_5,time_6,absorbance_6,time_7,absorbance_7,time_8,absorbance_8,time_9,absorbance_9
14,0.206,16,0.143,0,0.372,26,0.159,26,0.189,32,0.141,26,0.116,38,0.108,42,0.106
16,0.23,18,0.166,2,0.396,28,0.193,28,0.191,34,0.167,28,0.125,40,0.128,44,0.111
18,0.27,20,0.185,4,0.451,30,0.215,30,0.211,36,0.192,30,0.139,42,0.135,46,0.116
20,0.291,22,0.212,6,0.478,32,0.253,32,0.256,38,0.206,32,0.167,44,0.145,48,0.126
22,0.314,24,0.249,8,0.508,34,0.275,34,0.273,40,0.218,34,0.181,46,0.153,50,0.132
24,0.357,26,0.273,10,0.566,36,0.32,36,0.293,42,0.244,36,0.208,48,0.174,52,0.141
26,0.384,28,0.304,12,0.598,38,0.338,38,0.334,44,0.257,38,0.226,50,0.181,54,0.147
28,0.413,30,0.325,14,0.626,40,0.359,40,0.354,46,0.27,40,0.238,52,0.191,56,0.152
30,0.456,32,0.344,16,s,42,0.404,42,0.4,48,0.295,42,0.267,54,0.21,58,0.162
32,0.479,34,0.406,18,0.716,44,0.423,44,0.416,50,0.307,44,0.281,56,0.241,60,0.169
34,0.529,36,0.431,20,0.776,46,0.443,46,0.435,52,0.32,46,0.297,58,0.239,62,0.177
36,0.557,38,0.486,22,0.807,48,0.484,48,0.478,54,0.343,48,0.324,60,0.248,64,0.187
38,0.582,40,0.507,24,0.837,50,0.503,50,0.494,56,0.354,50,0.339,62,0.261,66,0.194
40,0.632,42,0.525,26,0.902,52,0.545,52,0.512,58,0.376,52,0.367,64,0.279,68,0.205
42,0.656,44,0.572,28,0.932,54,0.563,54,0.548,60,0.398,54,0.381,66,0.288,70,0.212
44,0.682,46,0.579,30,0.963,56,0.581,56,0.58,62,0.45,56,0.397,68,0.298,72,0.218
46,0.737,48,0.602,32,1.022,58,0.619,58,0.603,64,0.414,58,0.427,70,0.32,74,0.23
48,0.764,50,0.67,34,1.051,60,0.638,60,0.618,66,0.425,60,0.439,72,0.334,76,0.234
50,0.789,52,0.704,36,1.11,62,0.656,62,0.636,68,0.432,62,0.453,74,0.358,78,0.243
52,0.844,54,0.736,38,1.14,64,0.691,64,0.675,70,0.448,64,0.479,76,0.369,80,0.255
54,0.88,56,0.781,40,1.171,66,0.71,66,0.69,72,0.456,66,0.492,78,0.381,82,0.262
56,0.929,58,0.803,42,1.233,68,0.725,68,0.701,74,0.471,68,0.52,80,0.401,84,0.27
58,0.954,60,0.857,44,1.262,70,0.757,70,0.728,76,0.483,70,0.53,82,0.409,86,0.278
60,0.982,62,0.885,46,1.291,72,0.774,72,0.753,,,72,0.542,84,0.419,88,0.282
62,1.036,64,0.916,48,1.348,74,0.805,74,0.757,,,74,0.568,86,0.435,90,0.293
64,1.06,66,0.991,50,1.377,76,0.82,76,0.784,,,76,0.582,88,0.445,92,0.296
66,1.085,68,1.023,52,1.427,78,0.837,78,0.795,,,78,0.595,90,0.463,94,0.301
68,1.137,70,1.04,54,1.469,80,0.867,80,0.821,,,80,0.625,92,0.472,96,0.312
70,1.162,72,1.083,56,1.482,82,0.879,82,0.843,,,82,0.632,94,0.481,98,0.32
72,1.214,74,1.111,58,1.529,84,0.892,84,0.845,,,84,0.656,96,0.498,100,0.327
74,1.239,76,1.166,60,1.552,86,0.919,,,,,86,0.666,98,0.508,102,0.337
76,1.264,78,1.196,62,1.58,88,0.938,,,,,88,0.677,100,0.516,104,0.343
78,1.314,80,1.228,64,1.623,90,0.963,,,,,90,0.7,102,0.534,106,0.353
80,1.336,82,1.271,66,1.649,,,,,,,92,0.711,104,0.543,108,0.359
82,1.361,84,1.296,68,1.672,,,,,,,94,0.724,106,0.553,110,0.363
84,1.402,86,1.322,70,1.709,,,,,,,96,0.743,108,0.571,112,0.375
86,1.42,88,1.366,72,1.731,,,,,,,98,0.753,110,0.578,114,0.381
88,1.442,90,1.39,74,1.764,,,,,,,100,0.764,112,0.596,116,0.386
90,1.48,92,1.444,,,,,,,,,102,0.781,114,0.607,118,0.398
92,1.5,94,1.473,,,,,,,,,104,0.79,116,0.615,120,0.404
94,1.538,96,1.503,,,,,,,,,106,0.81,118,0.631,122,0.418
96,1.557,98,1.561,,,,,,,,,108,0.819,120,0.64,124,0.428
98,1.579,100,1.586,,,,,,,,,110,0.827,122,0.648,126,0.433
100,1.617,102,1.601,,,,,,,,,,,124,0.665,128,0.445
,,104,1.636,,,,,,,,,,,126,0.674,130,0.451
,,106,1.656,,,,,,,,,,,128,0.691,132,0.458
,,108,1.674,,,,,,,,,,,130,0.703,134,0.469
,,110,1.71,,,,,,,,,,,132,0.737,136,0.474
,,112,1.732,,,,,,,,,,,134,0.777,138,0.484
,,114,1.765,,,,,,,,,,,136,0.764,140,0.491
,,116,1.783,,,,,,,,,,,138,0.751,142,0.496
,,,,,,,,,,,,,,140,0.766,144,0.511
,,,,,,,,,,,,,,142,0.772,146,0.519
,,,,,,,,,,,,,,144,0.787,148,0.522
,,,,,,,,,,,,,,146,0.793,150,0.531
,,,,,,,,,,,,,,148,0.798,152,0.536
,,,,,,,,,,,,,,150,0.814,154,0.546
,,,,,,,,,,,,,,152,0.819,156,0.552
,,,,,,,,,,,,,,154,0.827,158,0.557
,,,,,,,,,,,,,,156,0.832,160,0.571
,,,,,,,,,,,,,,,,162,0.576
,,,,,,,,,,,,,,,,164,0.578
,,,,,,,,,,,,,,,,166,0.592
,,,,,,,,,,,,,,,,168,0.599
,,,,,,,,,,,,,,,,170,0.612
,,,,,,,,,,,,,,,,172,0.617
,,,,,,,,,,,,,,,,174,0.62
,,,,,,,,,,,,,,,,176,0.627
,,,,,,,,,,,,,,,,178,0.632
,,,,,,,,,,,,,,,,180,0.636
,,,,,,,,,,,,,,,,182,0.645
,,,,,,,,,,,,,,,,184,0.649
,,,,,,,,,,,,,,,,186,0.655
,,,,,,,,,,,,,,,,188,0.664
,,,,,,,,,,,,,,,,190,0.671
,,,,,,,,,,,,,,,,192,0.683
,,,,,,,,,,,,,,,,194,0.69
,,,,,,,,,,,,,,,,196,0.695
,,,,,,,,,,,,,,,,198,0.705
,,,,,,,,,,,,,,,,200,0.711
,,,,,,,,,,,,,,,,202,0.715
,,,,,,,,,,,,,,,,204,0.724
,,,,,,,,,,,,,,,,206,0.729
,,,,,,,,,,,,,,,,208,0.737
,,,,,,,,,,,,,,,,210,0.741
,,,,,,,,,,,,,,,,212,0.746
,,,,,,,,,,,,,,,,214,0.753
,,,,,,,,,,,,,,,,216,0.757
,,,,,,,,,,,,,,,,218,0.762
,,,,,,,,,,,,,,,,220,0.773
,,,,,,,,,,,,,,,,222,0.776
,,,,,,,,,,,,,,,,224,0.787
,,,,,,,,,,,,,,,,226,0.791
,,,,,,,,,,,,,,,,228,0.798
,,,,,,,,,,,,,,,,230,0.802
,,,,,,,,,,,,,,,,232,0.805
,,,,,,,,,,,,,,,,234,0.809
,,,,,,,,,,,,,,,,236,0.819
,,,,,,,,,,,,,,,,238,0.819
,,,,,,,,,,,,,,,,240,0.826
,,,,,,,,,,,,,,,,242,0.831
,,,,,,,,,,,,,,,,244,0.834
,,,,,,,,,,,,,,,,246,0.843
,,,,,,,,,,,,,,,,248,0.847
,,,,,,,,,,,,,,,,250,0.852
,,,,,,,,,,,,,,,,252,0.859
,,,,,,,,,,,,,,,,254,0.863
,,,,,,,,,,,,,,,,256,0.868
,,,,,,,,,,,,,,,,258,0.878
,,,,,,,,,,,,,,,,260,0.881
,,,,,,,,,,,,,,,,262,0.888
,,,,,,,,,,,,,,,,264,0.893
,,,,,,,,,,,,,,,,266,0.895
,,,,,,,,,,,,,,,,268,0.903
,,,,,,,,,,,,,,,,270,0.907
,,,,,,,,,,,,,,,,272,0.908
,,,,,,,,,,,,,,,,274,0.914
,,,,,,,,,,,,,,,,276,0.918
,,,,,,,,,,,,,,,,278,0.924
